10285;1;Beverages;1;Exotic Liquids;UK;QUICK;Germany
10294;1;Beverages;1;Exotic Liquids;UK;RATTC;USA
10317;1;Beverages;1;Exotic Liquids;UK;LONEP;USA
10348;1;Beverages;1;Exotic Liquids;UK;WANDK;Germany
10354;1;Beverages;1;Exotic Liquids;UK;PERIC;Mexico
10370;1;Beverages;1;Exotic Liquids;UK;CHOPS;Switzerland
10406;1;Beverages;1;Exotic Liquids;UK;QUEEN;Brazil
10413;1;Beverages;1;Exotic Liquids;UK;LAMAI;France
10477;1;Beverages;1;Exotic Liquids;UK;PRINI;Portugal
10522;1;Beverages;1;Exotic Liquids;UK;LEHMS;Germany
10526;1;Beverages;1;Exotic Liquids;UK;WARTH;Finland
10576;1;Beverages;1;Exotic Liquids;UK;TORTU;Mexico
10590;1;Beverages;1;Exotic Liquids;UK;MEREP;Canada
10609;1;Beverages;1;Exotic Liquids;UK;DUMON;France
10611;1;Beverages;1;Exotic Liquids;UK;WOLZA;Poland
10628;1;Beverages;1;Exotic Liquids;UK;BLONP;France
10646;1;Beverages;1;Exotic Liquids;UK;HUNGO;Ireland
10689;1;Beverages;1;Exotic Liquids;UK;BERGS;Sweden
10691;1;Beverages;1;Exotic Liquids;UK;QUICK;Germany
10700;1;Beverages;1;Exotic Liquids;UK;SAVEA;USA
10729;1;Beverages;1;Exotic Liquids;UK;LINOD;Venezuela
10752;1;Beverages;1;Exotic Liquids;UK;NORTS;UK
10838;1;Beverages;1;Exotic Liquids;UK;LINOD;Venezuela
10847;1;Beverages;1;Exotic Liquids;UK;SAVEA;USA
10863;1;Beverages;1;Exotic Liquids;UK;HILAA;Venezuela
10869;1;Beverages;1;Exotic Liquids;UK;SEVES;UK
10905;1;Beverages;1;Exotic Liquids;UK;WELLI;Brazil
10911;1;Beverages;1;Exotic Liquids;UK;GODOS;Spain
10918;1;Beverages;1;Exotic Liquids;UK;BOTTM;Canada
10935;1;Beverages;1;Exotic Liquids;UK;WELLI;Brazil
11003;1;Beverages;1;Exotic Liquids;UK;THECR;USA
11005;1;Beverages;1;Exotic Liquids;UK;WILMK;Finland
11006;1;Beverages;1;Exotic Liquids;UK;GREAL;USA
11025;1;Beverages;1;Exotic Liquids;UK;WARTH;Finland
11031;1;Beverages;1;Exotic Liquids;UK;SAVEA;USA
11035;1;Beverages;1;Exotic Liquids;UK;SUPRD;Belgium
11047;1;Beverages;1;Exotic Liquids;UK;EASTC;UK
11070;1;Beverages;1;Exotic Liquids;UK;LEHMS;Germany
10255;2;Beverages;1;Exotic Liquids;UK;RICSU;Switzerland
10258;2;Beverages;1;Exotic Liquids;UK;ERNSH;Austria
10264;2;Beverages;1;Exotic Liquids;UK;FOLKO;Sweden
10298;2;Beverages;1;Exotic Liquids;UK;HUNGO;Ireland
10327;2;Beverages;1;Exotic Liquids;UK;FOLKO;Sweden
10335;2;Beverages;1;Exotic Liquids;UK;HUNGO;Ireland
10342;2;Beverages;1;Exotic Liquids;UK;FRANK;Germany
10393;2;Beverages;1;Exotic Liquids;UK;SAVEA;USA
10418;2;Beverages;1;Exotic Liquids;UK;QUICK;Germany
10435;2;Beverages;1;Exotic Liquids;UK;CONSH;UK
10440;2;Beverages;1;Exotic Liquids;UK;SAVEA;USA
10469;2;Beverages;1;Exotic Liquids;UK;WHITC;USA
10485;2;Beverages;1;Exotic Liquids;UK;LINOD;Venezuela
10504;2;Beverages;1;Exotic Liquids;UK;WHITC;USA
10611;2;Beverages;1;Exotic Liquids;UK;WOLZA;Poland
10622;2;Beverages;1;Exotic Liquids;UK;RICAR;Brazil
10632;2;Beverages;1;Exotic Liquids;UK;WANDK;Germany
10641;2;Beverages;1;Exotic Liquids;UK;HILAA;Venezuela
10703;2;Beverages;1;Exotic Liquids;UK;FOLKO;Sweden
10714;2;Beverages;1;Exotic Liquids;UK;SAVEA;USA
10722;2;Beverages;1;Exotic Liquids;UK;SAVEA;USA
10741;2;Beverages;1;Exotic Liquids;UK;AROUT;UK
10766;2;Beverages;1;Exotic Liquids;UK;OTTIK;Germany
10787;2;Beverages;1;Exotic Liquids;UK;LAMAI;France
10792;2;Beverages;1;Exotic Liquids;UK;WOLZA;Poland
10806;2;Beverages;1;Exotic Liquids;UK;VICTE;France
10813;2;Beverages;1;Exotic Liquids;UK;RICAR;Brazil
10829;2;Beverages;1;Exotic Liquids;UK;ISLAT;UK
10851;2;Beverages;1;Exotic Liquids;UK;RICAR;Brazil
10852;2;Beverages;1;Exotic Liquids;UK;RATTC;USA
10856;2;Beverages;1;Exotic Liquids;UK;ANTON;Mexico
10866;2;Beverages;1;Exotic Liquids;UK;BERGS;Sweden
10885;2;Beverages;1;Exotic Liquids;UK;SUPRD;Belgium
10888;2;Beverages;1;Exotic Liquids;UK;GODOS;Spain
10939;2;Beverages;1;Exotic Liquids;UK;MAGAA;Italy
10991;2;Beverages;1;Exotic Liquids;UK;QUICK;Germany
11021;2;Beverages;1;Exotic Liquids;UK;QUICK;Germany
11030;2;Beverages;1;Exotic Liquids;UK;SAVEA;USA
11041;2;Beverages;1;Exotic Liquids;UK;CHOPS;Switzerland
