1996-07-04 00:00:00.000;10248;Queso Cabrales;Dairy Products;12;14,00;168,00
1996-07-04 00:00:00.000;10248;Singaporean Hokkien Fried Mee;Grains/Cereals;10;9,80;98,00
1996-07-04 00:00:00.000;10248;Mozzarella di Giovanni;Dairy Products;5;34,80;174,00
1996-07-05 00:00:00.000;10249;Tofu;Produce;9;18,60;167,40
1996-07-05 00:00:00.000;10249;Manjimup Dried Apples;Produce;40;42,40;1696,00
1996-07-08 00:00:00.000;10250;Jack's New England Clam Chowder;Seafood;10;7,70;77,00
1996-07-08 00:00:00.000;10250;Manjimup Dried Apples;Produce;35;42,40;1484,00
1996-07-08 00:00:00.000;10250;Louisiana Fiery Hot Pepper Sauce;Condiments;15;16,80;252,00
1996-07-08 00:00:00.000;10251;Gustaf's Knäckebröd;Grains/Cereals;6;16,80;100,80
1996-07-08 00:00:00.000;10251;Ravioli Angelo;Grains/Cereals;15;15,60;234,00
1996-07-08 00:00:00.000;10251;Louisiana Fiery Hot Pepper Sauce;Condiments;20;16,80;336,00
1996-07-09 00:00:00.000;10252;Sir Rodney's Marmalade;Confections;40;64,80;2592,00
1996-07-09 00:00:00.000;10252;Geitost;Dairy Products;25;2,00;50,00
1996-07-09 00:00:00.000;10252;Camembert Pierrot;Dairy Products;40;27,20;1088,00
1996-07-10 00:00:00.000;10253;Gorgonzola Telino;Dairy Products;20;10,00;200,00
1996-07-10 00:00:00.000;10253;Chartreuse verte;Beverages;42;14,40;604,80
1996-07-10 00:00:00.000;10253;Maxilaku;Confections;40;16,00;640,00
1996-07-11 00:00:00.000;10254;Guaraná Fantástica;Beverages;15;3,60;54,00
1996-07-11 00:00:00.000;10254;Pâté chinois;Meat/Poultry;21;19,20;403,20
1996-07-11 00:00:00.000;10254;Longlife Tofu;Produce;21;8,00;168,00
1996-07-12 00:00:00.000;10255;Chang;Beverages;20;15,20;304,00
1996-07-12 00:00:00.000;10255;Pavlova;Confections;35;13,90;486,50
1996-07-12 00:00:00.000;10255;Inlagd Sill;Seafood;25;15,20;380,00
1996-07-12 00:00:00.000;10255;Raclette Courdavault;Dairy Products;30;44,00;1320,00
1996-07-15 00:00:00.000;10256;Perth Pasties;Meat/Poultry;15;26,20;393,00
1996-07-15 00:00:00.000;10256;Original Frankfurter grüne Soße;Condiments;12;10,40;124,80
1996-07-16 00:00:00.000;10257;Schoggi Schokolade;Confections;25;35,10;877,50
1996-07-16 00:00:00.000;10257;Chartreuse verte;Beverages;6;14,40;86,40
1996-07-16 00:00:00.000;10257;Original Frankfurter grüne Soße;Condiments;15;10,40;156,00
1996-07-17 00:00:00.000;10258;Chang;Beverages;50;15,20;760,00
1996-07-17 00:00:00.000;10258;Chef Anton's Gumbo Mix;Condiments;65;17,00;1105,00
1996-07-17 00:00:00.000;10258;Mascarpone Fabioli;Dairy Products;6;25,60;153,60
1996-07-18 00:00:00.000;10259;Sir Rodney's Scones;Confections;10;8,00;80,00
1996-07-18 00:00:00.000;10259;Gravad lax;Seafood;1;20,80;20,80
1996-07-19 00:00:00.000;10260;Jack's New England Clam Chowder;Seafood;16;7,70;123,20
1996-07-19 00:00:00.000;10260;Ravioli Angelo;Grains/Cereals;50;15,60;780,00
